Audit Reference,Rule Key,Type,Trigger / Condition,Controller Action,Source Values
Phase initialization / reset,phase_initialization,initialization,New active phase uses that phase configured reward component initial weights.,No metric trigger. Initializes weights from PhaseConfig.reward_components.,Per-phase values in phase_weight_rationale.
Parseable Guard Fired,parseable_guard,guard update,parseable_answer_rate < 0.85.,"Sets parseable_reward = max(current, 0.75).",floor threshold 0.85; guard target 0.75.
Format Guard Fired,format_guard,guard update,solution_tag_compliance < 0.9 OR reasoning_tag_compliance < 0.88 OR malformed_answer_rate > 0.1.,"Sets format_reward = max(current, 0.75).",solution floor 0.9; reasoning floor 0.88; malformed ceiling 0.1; guard target 0.75.
Finish Guard Fired,finish_guard,guard update,truncation_rate > 0.15 OR average_completion_tokens > 0.85 * max_completion_length.,Adds +0.25 to finished_reward before bounds/floors are applied.,truncation ceiling 0.15; token fraction 0.85; finish step 0.25.
Stable Structure,stable_structure,helper condition,parseable >= 0.92 AND solution >= 0.95 AND reasoning >= 0.93 AND malformed <= 0.05 AND truncation <= 0.08.,Does not change weights by itself; required for correctness escalation.,Stable thresholds from RewardGateConfig.
Stable Window Ready,stable_window_ready,helper condition,At least 2 prior/current checkpoint metric entries exist in phase history.,Enables exact-match plateau check.,stable_window = 2.
Correctness Plateau,correctness_plateau,helper condition,current normalized_exact_match minus previous window exact match < 0.02.,Does not change weights by itself; required for correctness escalation.,exact_match_plateau_delta = 0.02.
Correctness Rule Fired,correctness_escalation,update rule,stable_structure AND stable_window_ready AND correctness_plateau.,Adds +0.5 to correctness_reward before bounds/floors are applied.,correctness_step = 0.5.
Post-update Floors,component_floors,post-update constraint,Always applied after rule updates.,"Ensures format_reward >= 0.25, parseable_reward >= 0.25, finished_reward >= 0.5.",format_floor 0.25; parseable_floor 0.25; finish_floor 0.5.
Component Bounds Clamp,clamped_components,post-update constraint record,Any reward weight falls outside its RewardComponentConfig min/max bound.,Clamps to component min/max and records the changed component.,"Bounds: correctness 1.0-8.0, format and parseable 0.25-2.0, finished 0.5-2.0, tolerance 0.0-2.0, brevity 0.0-1.0."
